Sr_No.,Date_of_Encashment,Name_of_Political_Party,Account_no.,Prefix,Bond_Number,Denominations,Pay_Branch_Code,Pay_Teller,Bond_number
1,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,775,10000000,800,2770121,OC775
2,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3975,10000000,800,2770121,OC3975
3,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3967,10000000,800,2770121,OC3967
4,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10418,1000000,800,2770121,TL10418
5,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,126,1000000,800,2770121,TL126
6,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,116,1000000,800,2770121,TL116
7,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10466,1000000,800,2770121,TL10466
8,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,122,1000000,800,2770121,TL122
9,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,158,1000000,800,2770121,TL158
10,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,108,1000000,800,2770121,TL108
11,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10446,1000000,800,2770121,TL10446
12,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10434,1000000,800,2770121,TL10434
13,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,162,1000000,800,2770121,TL162
14,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,128,1000000,800,2770121,TL128
15,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,113,1000000,800,2770121,TL113
16,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10423,1000000,800,2770121,TL10423
17,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,110,1000000,800,2770121,TL110
18,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,131,1000000,800,2770121,TL131
19,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,164,1000000,800,2770121,TL164
20,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,118,1000000,800,2770121,TL118
21,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10449,1000000,800,2770121,TL10449
22,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10417,1000000,800,2770121,TL10417
23,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10426,1000000,800,2770121,TL10426
24,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10420,1000000,800,2770121,TL10420
25,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10443,1000000,800,2770121,TL10443
26,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10452,1000000,800,2770121,TL10452
27,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,160,1000000,800,2770121,TL160
28,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10408,1000000,800,2770121,TL10408
29,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,120,1000000,800,2770121,TL120
30,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10464,1000000,800,2770121,TL10464
31,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,124,1000000,800,2770121,TL124
32,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10440,1000000,800,2770121,TL10440
33,4/12/2019 0:00,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10469,1000000,800,2770121,TL10469
34,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,6646,10000000,847,3367975,OC6646
35,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,6644,10000000,847,3367975,OC6644
36,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5470,10000000,847,3367975,OC5470
37,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5455,10000000,847,3367975,OC5455
38,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5467,10000000,847,3367975,OC5467
39,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5460,10000000,847,3367975,OC5460
40,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5463,10000000,847,3367975,OC5463
41,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5451,10000000,847,3367975,OC5451
42,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5458,10000000,847,3367975,OC5458
43,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5454,10000000,847,3367975,OC5454
44,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5474,10000000,847,3367975,OC5474
45,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5459,10000000,847,3367975,OC5459
46,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5475,10000000,847,3367975,OC5475
47,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5464,10000000,847,3367975,OC5464
48,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5453,10000000,847,3367975,OC5453
49,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5472,10000000,847,3367975,OC5472
50,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5471,10000000,847,3367975,OC5471
51,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5468,10000000,847,3367975,OC5468
52,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5450,10000000,847,3367975,OC5450
53,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5462,10000000,847,3367975,OC5462
54,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5457,10000000,847,3367975,OC5457
55,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,OC,5466,10000000,847,3367975,OC5466
56,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,TL,10876,1000000,847,3367975,TL10876
57,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,TL,10877,1000000,847,3367975,TL10877
58,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,TL,10885,1000000,847,3367975,TL10885
59,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,TL,10856,1000000,847,3367975,TL10856
60,4/12/2019 0:00,BHARAT RASHTRA SAMITHI,*******7477,TL,10870,1000000,847,3367975,TL10870
61,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4274,10000000,691,3627829,OC4274
62,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4276,10000000,691,3627829,OC4276
63,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5827,10000000,691,3627829,OC5827
64,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5847,10000000,691,3627829,OC5847
65,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4303,10000000,691,3627829,OC4303
66,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4301,10000000,691,3627829,OC4301
67,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5831,10000000,691,3627829,OC5831
68,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4321,10000000,691,3627829,OC4321
69,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5861,10000000,691,3627829,OC5861
70,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4325,10000000,691,3627829,OC4325
71,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5843,10000000,691,3627829,OC5843
72,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5837,10000000,691,3627829,OC5837
73,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5817,10000000,691,3627829,OC5817
74,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4319,10000000,691,3627829,OC4319
75,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4293,10000000,691,3627829,OC4293
76,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4305,10000000,691,3627829,OC4305
77,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5801,10000000,691,3627829,OC5801
78,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5825,10000000,691,3627829,OC5825
79,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4313,10000000,691,3627829,OC4313
80,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5805,10000000,691,3627829,OC5805
81,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5829,10000000,691,3627829,OC5829
82,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5821,10000000,691,3627829,OC5821
83,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5839,10000000,691,3627829,OC5839
84,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5841,10000000,691,3627829,OC5841
85,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5813,10000000,691,3627829,OC5813
86,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5833,10000000,691,3627829,OC5833
87,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4327,10000000,691,3627829,OC4327
88,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4311,10000000,691,3627829,OC4311
89,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4347,10000000,691,3627829,OC4347
90,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4317,10000000,691,3627829,OC4317
91,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5809,10000000,691,3627829,OC5809
92,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5855,10000000,691,3627829,OC5855
93,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4333,10000000,691,3627829,OC4333
