Sr_No.,Reference_No_(URN),Journal_Date,Date_of_Purchase,Date_of_Expiry,Name_of_Purchaser,Prefix,Bond_Number,Denominations,Issue_Branch_Code,Issue_Teller,Status,Bond_number
1,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,TL,11448,1000000,1,5899230,Paid,TL11448
2,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,TL,11447,1000000,1,5899230,Paid,TL11447
3,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,TL,11441,1000000,1,5899230,Paid,TL11441
4,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1113,100000,1,5899230,Paid,OL1113
5,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1118,100000,1,5899230,Paid,OL1118
6,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1112,100000,1,5899230,Paid,OL1112
7,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1115,100000,1,5899230,Paid,OL1115
8,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1119,100000,1,5899230,Paid,OL1119
9,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1110,100000,1,5899230,Paid,OL1110
10,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1111,100000,1,5899230,Paid,OL1111
11,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1106,100000,1,5899230,Paid,OL1106
12,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1114,100000,1,5899230,Paid,OL1114
13,00001201904120000001166,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,A B C INDIA LIMITED,OL,1117,100000,1,5899230,Paid,OL1117
14,00001201904120000001178,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,1000000,1,5899230,Paid,TL11556
15,00001201904120000001178,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,1000000,1,5899230,Paid,TL11555
16,00001201904120000001178,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,100000,1,5899230,Paid,OL1125
17,00001201904120000001178,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,100000,1,5899230,Paid,OL1129
18,00001201904120000001178,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,100000,1,5899230,Paid,OL1124
19,00001201904120000001178,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,100000,1,5899230,Paid,OL1128
20,00001201904120000001178,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,100000,1,5899230,Paid,OL1126
21,00001201904120000001177,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ARIHANT ENTERPRISES,TL,11551,1000000,1,5899230,Paid,TL11551
22,00001201904120000001177,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ARIHANT ENTERPRISES,TL,11554,1000000,1,5899230,Paid,TL11554
23,00001201904120000001177,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ARIHANT ENTERPRISES,TL,11553,1000000,1,5899230,Paid,TL11553
24,00001201904120000001177,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ARIHANT ENTERPRISES,TL,11552,1000000,1,5899230,Paid,TL11552
25,00300201904120000001173,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,CHOUDHARY GARMENTS,TL,12904,1000000,300,4180496,Paid,TL12904
26,00300201904120000001173,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,CHOUDHARY GARMENTS,TL,12902,1000000,300,4180496,Paid,TL12902
27,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6297,10000000,1,5899230,Paid,OC6297
28,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6275,10000000,1,5899230,Paid,OC6275
29,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6261,10000000,1,5899230,Paid,OC6261
30,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6278,10000000,1,5899230,Paid,OC6278
31,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6262,10000000,1,5899230,Paid,OC6262
32,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6274,10000000,1,5899230,Paid,OC6274
33,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6257,10000000,1,5899230,Paid,OC6257
34,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6273,10000000,1,5899230,Paid,OC6273
35,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6272,10000000,1,5899230,Paid,OC6272
36,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6280,10000000,1,5899230,Paid,OC6280
37,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6251,10000000,1,5899230,Paid,OC6251
38,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,4597,10000000,1,5899230,Paid,OC4597
39,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6279,10000000,1,5899230,Paid,OC6279
40,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6296,10000000,1,5899230,Paid,OC6296
41,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6256,10000000,1,5899230,Paid,OC6256
42,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6286,10000000,1,5899230,Paid,OC6286
43,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6298,10000000,1,5899230,Paid,OC6298
44,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6267,10000000,1,5899230,Paid,OC6267
45,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,4632,10000000,1,5899230,Paid,OC4632
46,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6284,10000000,1,5899230,Paid,OC6284
47,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6254,10000000,1,5899230,Paid,OC6254
48,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6292,10000000,1,5899230,Paid,OC6292
49,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6268,10000000,1,5899230,Paid,OC6268
50,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6258,10000000,1,5899230,Paid,OC6258
51,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6253,10000000,1,5899230,Paid,OC6253
52,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6293,10000000,1,5899230,Paid,OC6293
53,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6281,10000000,1,5899230,Paid,OC6281
54,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6264,10000000,1,5899230,Paid,OC6264
55,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6288,10000000,1,5899230,Paid,OC6288
56,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6300,10000000,1,5899230,Paid,OC6300
57,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6269,10000000,1,5899230,Paid,OC6269
58,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,4598,10000000,1,5899230,Paid,OC4598
59,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6263,10000000,1,5899230,Paid,OC6263
60,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6270,10000000,1,5899230,Paid,OC6270
61,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6283,10000000,1,5899230,Paid,OC6283
62,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6299,10000000,1,5899230,Paid,OC6299
63,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6271,10000000,1,5899230,Paid,OC6271
64,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6252,10000000,1,5899230,Paid,OC6252
65,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6282,10000000,1,5899230,Paid,OC6282
66,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6259,10000000,1,5899230,Paid,OC6259
67,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6295,10000000,1,5899230,Paid,OC6295
68,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6260,10000000,1,5899230,Paid,OC6260
69,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6255,10000000,1,5899230,Paid,OC6255
70,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6265,10000000,1,5899230,Paid,OC6265
71,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6285,10000000,1,5899230,Paid,OC6285
72,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6289,10000000,1,5899230,Paid,OC6289
73,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6291,10000000,1,5899230,Paid,OC6291
74,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6294,10000000,1,5899230,Paid,OC6294
75,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,OC,6287,10000000,1,5899230,Paid,OC6287
76,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11440,1000000,1,5899230,Paid,TL11440
77,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11437,1000000,1,5899230,Paid,TL11437
78,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11439,1000000,1,5899230,Paid,TL11439
79,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11445,1000000,1,5899230,Paid,TL11445
80,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11438,1000000,1,5899230,Paid,TL11438
81,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11432,1000000,1,5899230,Paid,TL11432
82,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11444,1000000,1,5899230,Paid,TL11444
83,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11443,1000000,1,5899230,Paid,TL11443
84,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11446,1000000,1,5899230,Paid,TL11446
85,00001201904120000001165,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,ESSEL MINING AND INDS LTD,TL,11442,1000000,1,5899230,Paid,TL11442
86,00300201904120000001168,4/12/2019 0:00,4/12/2019 0:00,4/26/2019 0:00,GRASIM INDUSTRIES LTD,OC,7045,10000000,300,4180496,Paid,OC7045
